iter	Passed	Remaining
0	0	87
1	1	74
2	2	69
3	2	64
4	3	63
5	3	61
6	4	61
7	5	60
8	6	62
9	6	62
10	7	61
11	8	60
12	8	59
13	9	59
14	10	59
15	11	60
16	12	59
17	13	59
18	13	59
19	14	59
20	15	58
21	16	58
22	17	57
23	18	57
24	18	56
25	19	56
26	20	55
27	21	54
28	21	53
29	22	53
30	23	52
31	24	52
32	25	51
33	26	50
34	26	50
35	27	49
36	28	48
37	29	48
38	30	47
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	35	42
45	35	42
46	36	41
47	37	40
48	38	40
49	39	39
50	40	38
51	40	37
52	41	36
53	42	36
54	43	35
55	43	34
56	44	33
57	45	32
58	46	32
59	47	31
60	48	30
61	49	30
62	49	29
63	50	28
64	51	27
65	52	27
66	53	26
67	54	25
68	55	24
69	56	24
70	56	23
71	57	22
72	58	21
73	59	20
74	60	20
75	61	19
76	62	18
77	63	17
78	63	17
79	64	16
80	65	15
81	66	14
82	67	13
83	68	13
84	69	12
85	69	11
86	70	10
87	71	9
88	72	8
89	72	8
90	73	7
91	74	6
92	75	5
93	76	4
94	76	4
95	77	3
96	78	2
97	78	1
98	79	0
99	80	0
